,rep,model2,time,variable,type,value
214,Rep14,JM_value,12,PE,training,0.121529583161773
215,Rep15,JM_value,12,PE,training,0.127076315835403
216,Rep16,JM_value,12,PE,training,0.12171924977883
217,Rep17,JM_value,12,PE,training,0.128541411330667
218,Rep18,JM_value,12,PE,training,0.125615906156016
219,Rep19,JM_value,12,PE,training,0.130457540038636
220,Rep20,JM_value,12,PE,training,0.125286478073481
221,Rep01,JM_value-slope,12,PE,training,0.119643975207945
222,Rep02,JM_value-slope,12,PE,training,0.113412001256614
223,Rep03,JM_value-slope,12,PE,training,0.123599835494452
224,Rep04,JM_value-slope,12,PE,training,0.138130444213253
225,Rep05,JM_value-slope,12,PE,training,0.115586582032294
226,Rep06,JM_value-slope,12,PE,training,0.131614190473129
227,Rep07,JM_value-slope,12,PE,training,0.128017892452581
228,Rep08,JM_value-slope,12,PE,training,0.119197504195173
229,Rep09,JM_value-slope,12,PE,training,0.126955575304125
230,Rep10,JM_value-slope,12,PE,training,0.133335362974425
231,Rep11,JM_value-slope,12,PE,training,0.113831152884109
232,Rep12,JM_value-slope,12,PE,training,0.11701562950786
233,Rep13,JM_value-slope,12,PE,training,0.146613026563825
234,Rep14,JM_value-slope,12,PE,training,0.129305330520244
235,Rep15,JM_value-slope,12,PE,training,0.124320641698991
236,Rep16,JM_value-slope,12,PE,training,0.122551828744305
237,Rep17,JM_value-slope,12,PE,training,0.114962193075687
238,Rep18,JM_value-slope,12,PE,training,0.12279759780141
239,Rep19,JM_value-slope,12,PE,training,0.122728292224094
240,Rep20,JM_value-slope,12,PE,training,0.116649732312299
241,Rep01,JM_cumulative,12,PE,training,0.116381512895475
242,Rep02,JM_cumulative,12,PE,training,0.124860776868174
243,Rep03,JM_cumulative,12,PE,training,0.122351481970136
244,Rep04,JM_cumulative,12,PE,training,0.123185898144194
245,Rep05,JM_cumulative,12,PE,training,0.110249924768312
246,Rep06,JM_cumulative,12,PE,training,0.112911468655645
247,Rep07,JM_cumulative,12,PE,training,0.119345317664326
248,Rep08,JM_cumulative,12,PE,training,0.110985628667901
